No.;Time;Source;Destination;Protocol;;time 2;Time 1;delay;delay 2;delay 1;jitter
1;0;192.168.43.95;74.125.200.188;TCP;;0.069491;0;0.069491;-0.069491;0.138982;-0.208473
2;0.069491;74.125.200.188;192.168.43.95;TCP;;0.269591;0.069491;0.2001;-0.130609;0.330709;-0.461318
3;0.269591;192.168.43.95;104.44.88.28;TLSv1.2;;0.551241;0.269591;0.28165;-0.012059;0.293709;-0.305768
4;0.551241;104.44.88.28;192.168.43.95;TLSv1.2;;0.551287;0.551241;4.6E-05;0.551195;-0.551149;1.102344
5;0.551287;192.168.43.95;104.44.88.28;TCP;;0.55196;0.551287;0.000673;0.550614;-0.549941;1.100555
6;0.55196;192.168.43.95;104.44.88.28;TLSv1.2;;0.852125;0.55196;0.300165;0.251795;0.04837;0.203425
7;0.852125;104.44.88.28;192.168.43.95;TLSv1.2;;0.85217;0.852125;4.5E-05;0.85208;-0.852035;1.704115
8;0.85217;192.168.43.95;104.44.88.28;TCP;;3.240338;0.85217;2.388168;-1.535998;3.924166;-5.460164
9;3.240338;192.168.43.95;192.168.1.255;TCP;;3.304008;3.240338;0.06367;3.176668;-3.112998;6.289666
10;3.304008;192.168.1.255;192.168.43.95;TCP;;3.81249;3.304008;0.508482;2.795526;-2.287044;5.08257
11;3.81249;192.168.43.95;192.168.1.255;TCP;;3.879412;3.81249;0.066922;3.745568;-3.678646;7.424214
12;3.879412;192.168.1.255;192.168.43.95;TCP;;4.391178;3.879412;0.511766;3.367646;-2.85588;6.223526
13;4.391178;192.168.43.95;192.168.1.255;TCP;;4.492693;4.391178;0.101515;4.289663;-4.188148;8.477811
14;4.492693;192.168.1.255;192.168.43.95;TCP;;5.000397;4.492693;0.507704;3.984989;-3.477285;7.462274
15;5.000397;192.168.43.95;192.168.1.255;TCP;;5.110398;5.000397;0.110001;4.890396;-4.780395;9.670791
16;5.110398;192.168.1.255;192.168.43.95;TCP;;5.611004;5.110398;0.500606;4.609792;-4.109186;8.718978
17;5.611004;192.168.43.95;192.168.1.255;TCP;;5.711287;5.611004;0.100283;5.510721;-5.410438;10.921159
18;5.711287;192.168.1.255;192.168.43.95;TCP;;11.668056;5.711287;5.956769;-0.245482;6.202251;-6.447733
22;11.668056;192.168.43.95;3.235.82.186;TLSv1.2;;11.990897;11.668056;0.322841;11.345215;-11.022374;22.367589
23;11.990897;3.235.82.186;192.168.43.95;TCP;;11.990897;11.990897;0;11.990897;-11.990897;23.981794
24;11.990897;3.235.82.186;192.168.43.95;TLSv1.2;;12.030489;11.990897;0.039592;11.951305;-11.911713;23.863018
25;12.030489;192.168.43.95;3.235.82.186;TCP;;13.309674;12.030489;1.279185;10.751304;-9.472119;20.223423
168;13.309674;192.168.43.95;3.235.82.186;TLSv1.2;;13.623901;13.309674;0.314227;12.995447;-12.68122;25.676667
174;13.623901;3.235.82.186;192.168.43.95;TLSv1.2;;13.663521;13.623901;0.03962;13.584281;-13.544661;27.128942
177;13.663521;192.168.43.95;3.235.82.186;TCP;;13.726826;13.663521;0.063305;13.600216;-13.536911;27.137127
182;13.726826;192.168.43.95;3.235.69.49;TCP;;14.026936;13.726826;0.30011;13.426716;-13.126606;26.553322
187;14.026936;3.235.69.49;192.168.43.95;TCP;;14.026994;14.026936;5.8E-05;14.026878;-14.02682;28.053698
188;14.026994;192.168.43.95;3.235.69.49;TCP;;14.046682;14.026994;0.019688;14.007306;-13.987618;27.994924
189;14.046682;192.168.43.95;3.235.69.49;TLSv1.2;;14.359221;14.046682;0.312539;13.734143;-13.421604;27.155747
213;14.359221;3.235.69.49;192.168.43.95;TCP;;14.359485;14.359221;0.000264;14.358957;-14.358693;28.71765
214;14.359485;3.235.69.49;192.168.43.95;TLSv1.2;;14.359757;14.359485;0.000272;14.359213;-14.358941;28.718154
215;14.359757;3.235.69.49;192.168.43.95;TCP;;14.359786;14.359757;2.9E-05;14.359728;-14.359699;28.719427
216;14.359786;192.168.43.95;3.235.69.49;TCP;;14.360025;14.359786;0.000239;14.359547;-14.359308;28.718855
217;14.360025;3.235.69.49;192.168.43.95;TLSv1.2;;14.36013;14.360025;0.000105;14.35992;-14.359815;28.719735
218;14.36013;3.235.69.49;192.168.43.95;TLSv1.2;;14.360161;14.36013;3.1E-05;14.360099;-14.360068;28.720167
219;14.360161;192.168.43.95;3.235.69.49;TCP;;14.366326;14.360161;0.006165;14.353996;-14.347831;28.701827
220;14.366326;192.168.43.95;3.235.69.49;TLSv1.2;;14.676186;14.366326;0.30986;14.056466;-13.746606;27.803072
246;14.676186;3.235.69.49;192.168.43.95;TLSv1.2;;14.681477;14.676186;0.005291;14.670895;-14.665604;29.336499
247;14.681477;192.168.43.95;3.235.69.49;TCP;;14.681477;14.681477;0;14.681477;-14.681477;29.362954
248;14.681477;192.168.43.95;3.235.69.49;TLSv1.2;;14.681651;14.681477;0.000174;14.681303;-14.681129;29.362432
249;14.681651;192.168.43.95;3.235.69.49;TLSv1.2;;15.000193;14.681651;0.318542;14.363109;-14.044567;28.407676
257;15.000193;3.235.69.49;192.168.43.95;TCP;;15.045925;15.000193;0.045732;14.954461;-14.908729;29.86319
258;15.045925;3.235.69.49;192.168.43.95;TCP;;15.046032;15.045925;0.000107;15.045818;-15.045711;30.091529
259;15.046032;3.235.69.49;192.168.43.95;TLSv1.2;;15.04608;15.046032;4.8E-05;15.045984;-15.045936;30.09192
260;15.04608;192.168.43.95;3.235.69.49;TCP;;20.830566;15.04608;5.784486;9.261594;-3.477108;12.738702
333;20.830566;3.235.69.48;192.168.43.95;TLSv1.2;;20.830566;20.830566;0;20.830566;-20.830566;41.661132
334;20.830566;3.235.69.48;192.168.43.95;TCP;;20.830614;20.830566;4.8E-05;;4.8E-05;
335;20.830614;192.168.43.95;3.235.69.48;TCP;;;;;;;
;;;;;;;;;;;
;;;;;;;Total delay;20.830614;;Jumlah jitter;831.369144
;;;;;;;Rata2Delay;0.062180937;;rata2 jitter;2.481698937
